name,address,city,state,surfaceArea,year,bth_r,bed_r,hometype,sale/rent,price
Michael's house,3671 Whispymound Drive,Los Santos,CA,5000,2001,2,4,house,sale,8000000.00
M. Wolf's flat,21 Hangover Street,FableTown,NY,300,1961,1,1,apartment,rent,1208
McCallister House,88 Ladylay Drive,Chicago,IL,2000,1952,4,8,house,sale,4266252.00
Heisenberg's house,21 Lonesome Road,Albuquerque,NM,2500,1999,1,3,house,sale,100000.00
Adams ContainerHome,36 Industrial Road,Oakland,CA,600,2023,1,1,container home,rent,1600.00
Carter Lighthouse,37 Cliffside Drive,Cape Town,CA,1300,1975,2,3,lighthouse,sale,1250000.00
Evans EarthHouse,38 Green Valley Road,Asheville,NC,900,2005,1,2,earth house,sale,750000.00
Foster Monastry,39 Serenity Lane,Kyoto,JP,2000,1600,3,5,monastery,sale,9000000.00
Gray Teepee,40 Plains Avenue,Santa Fe,NM,300,2021,1,1,teepee,rent,800.00
Howard Skyscraper,41 Financial Street,Hong Kong,NY,4000,2017,5,6,skyscraper,rent,6000.00
Irwin Boathouse,42 Lakeside Road,Geneva,CH,800,2010,2,2,boathouse,sale,1100000.00
Jones Treehouse,43 Canopy Road,Costa Rica,CR,400,2024,1,1,treehouse,rent,1400.00
Kelly Cave,44 Desert Trail,Sedona,AZ,500,1960,1,1,cave,rent,750.00
Long Trailer,45 Route 66,Albuquerque,NM,600,1990,1,1,trailer,rent,650.00
Mitchell Yurt,46 Prairie Road,Bozeman,MT,400,2022,1,1,yurt,rent,950.00
Nelson Dome,47 Hilltop Road,Taos,NM,700,2000,1,2,dome,sale,650000.00
Owens HobbitHouse,48 Shire Lane,Queenstown,NZ,500,2019,1,1,hobbit house,rent,1450.00
Perry Igloo,49 Arctic Circle,Reykjavik,IS,300,2023,1,1,igloo,rent,600.00
Quinn houseboat,50 Canal Street,Amsterdam,NL,800,2015,2,2,houseboat,rent,1800.00
Roberts Barn,51 Country Road,Charleston,SC,1600,1910,2,3,barn,sale,600000.00
Sanders ContainerHome,52 Harbor Road,Long Beach,CA,700,2024,1,1,container home,rent,1650.00
Thomas Lighthouse,53 Coastal Highway,Galveston,TX,1400,1980,2,3,lighthouse,sale,1300000.00
Underwood EarthHouse,54 Forest Drive,Boulder,CO,1000,2007,1,2,earth house,sale,800000.00
Vega Monastery,55 Mountain Path,Kathmandu,NP,2200,1700,3,5,monastery,sale,9500000.00
Wright Teepee,56 Desert Road,Flagstaff,AZ,350,2022,1,1,teepee,rent,850.00
Xavier Skyscraper,57 Avenue of the Stars,Singapore,SG,4200,2018,5,6,skyscraper,rent,6500.00
Young Boathouse,58 Riverside Lane,Copenhagen,DK,900,2012,2,2,boathouse,sale,1200000.00
Zimmerman Treehouse,59 Jungle Trail,Bali,ID,450,2025,1,1,treehouse,rent,1500.00
Abbott Cave,60 Canyon Road,Moab,UT,550,1970,1,1,cave,rent,800.00
Bailey Trailer,61 Interstate 10,Tucson,AZ,650,2000,1,1,trailer,rent,700.00
